estado,codigo_estado,data,semana_epidem,populacao,populacao_2019,is_last,is_repeated,casos_confirmados,casos_por_100k_habitantes,data_atualizacao,taxa_mortalidade,obitos,estado,casos_novos,obitos_novos
São Paulo,35.0,2020-11-07,202045,46289333.0,45919049.0,False,True,1125936,2432.38761,2020-11-05,0.0353,39717,SP,0,0
São Paulo,35.0,2020-11-08,202046,46289333.0,45919049.0,False,True,1125936,2432.38761,2020-11-05,0.0353,39717,SP,0,0
São Paulo,35.0,2020-11-09,202046,46289333.0,45919049.0,False,True,1125936,2432.38761,2020-11-05,0.0353,39717,SP,0,0
São Paulo,35.0,2020-11-10,202046,46289333.0,45919049.0,False,False,1147451,2478.867,2020-11-10,0.0346,39717,SP,21515,0
São Paulo,35.0,2020-11-11,202046,46289333.0,45919049.0,False,False,1150872,2486.25747,2020-11-11,0.0347,39907,SP,3421,190
São Paulo,35.0,2020-11-12,202046,46289333.0,45919049.0,False,False,1156652,2498.74415,2020-11-12,0.0348,40202,SP,5780,295
São Paulo,35.0,2020-11-13,202046,46289333.0,45919049.0,False,False,1162782,2511.98694,2020-11-13,0.0346,40202,SP,6130,0
São Paulo,35.0,2020-11-14,202046,46289333.0,45919049.0,False,False,1167422,2522.01085,2020-11-14,0.0347,40549,SP,4640,347
São Paulo,35.0,2020-11-15,202047,46289333.0,45919049.0,False,False,1168640,2524.64212,2020-11-15,0.0347,40564,SP,1218,15
São Paulo,35.0,2020-11-16,202047,46289333.0,45919049.0,False,False,1169377,2526.23428,2020-11-16,0.0347,40576,SP,737,12
São Paulo,35.0,2020-11-17,202047,46289333.0,45919049.0,False,False,1178075,2545.02479,2020-11-17,0.0346,40749,SP,8698,173
São Paulo,35.0,2020-11-18,202047,46289333.0,45919049.0,False,False,1184496,2558.89624,2020-11-18,0.0346,40927,SP,6421,178
São Paulo,35.0,2020-11-19,202047,46289333.0,45919049.0,False,False,1191290,2573.57348,2020-11-19,0.0345,41074,SP,6794,147
São Paulo,35.0,2020-11-20,202047,46289333.0,45919049.0,False,False,1200348,2593.1417100000003,2020-11-20,0.0343,41179,SP,9058,105
São Paulo,35.0,2020-11-21,202047,46289333.0,45919049.0,False,False,1205435,2604.13128,2020-11-21,0.0342,41256,SP,5087,77
São Paulo,35.0,2020-11-22,202048,46289333.0,45919049.0,False,False,1209588,2613.10311,2020-11-22,0.0341,41267,SP,4153,11
São Paulo,35.0,2020-11-23,202048,46289333.0,45919049.0,False,False,1210625,2615.34337,2020-11-23,0.0341,41276,SP,1037,9
São Paulo,35.0,2020-11-24,202048,46289333.0,45919049.0,False,False,1215844,2626.6181,2020-11-24,0.0341,41455,SP,5219,179
São Paulo,35.0,2020-11-25,202048,46289333.0,45919049.0,False,False,1224744,2645.84499,2020-11-25,0.034,41601,SP,8900,146
São Paulo,35.0,2020-11-26,202048,46289333.0,45919049.0,False,False,1229267,2655.6161399999996,2020-11-26,0.034,41773,SP,4523,172
São Paulo,35.0,2020-11-27,202048,46289333.0,45919049.0,False,False,1233587,2664.94875,2020-11-27,0.034,41902,SP,4320,129
São Paulo,35.0,2020-11-28,202048,46289333.0,45919049.0,False,False,1238094,2674.6853300000002,2020-11-28,0.034,42048,SP,4507,146
São Paulo,35.0,2020-11-29,202049,46289333.0,45919049.0,False,False,1240473,2679.82474,2020-11-29,0.0339,42076,SP,2379,28
São Paulo,35.0,2020-11-30,202049,46289333.0,45919049.0,False,False,1241653,2682.37393,2020-11-30,0.0339,42095,SP,1180,19
São Paulo,35.0,2020-12-01,202049,46289333.0,45919049.0,False,False,1250590,2701.68075,2020-12-01,0.0338,42290,SP,8937,195
São Paulo,35.0,2020-12-02,202049,46289333.0,45919049.0,False,False,1259704,2721.36995,2020-12-02,0.0337,42456,SP,9114,166
São Paulo,35.0,2020-12-03,202049,46289333.0,45919049.0,False,False,1267912,2739.1019,2020-12-03,0.0336,42637,SP,8208,181
São Paulo,35.0,2020-12-04,202049,46289333.0,45919049.0,False,False,1276149,2756.8965,2020-12-04,0.0335,42788,SP,8237,151
São Paulo,35.0,2020-12-05,202049,46289333.0,45919049.0,False,False,1285087,2776.20548,2020-12-05,0.0334,42969,SP,8938,181
São Paulo,35.0,2020-12-06,202050,46289333.0,45919049.0,False,False,1287762,2781.98435,2020-12-06,0.0334,43015,SP,2675,46
São Paulo,35.0,2020-12-07,202050,46289333.0,45919049.0,False,False,1288878,2784.39527,2020-12-07,0.0334,43040,SP,1116,25
São Paulo,35.0,2020-12-08,202050,46289333.0,45919049.0,False,False,1296801,2801.51153,2020-12-08,0.0334,43282,SP,7923,242
São Paulo,35.0,2020-12-09,202050,46289333.0,45919049.0,False,False,1306585,2822.64815,2020-12-09,0.0333,43461,SP,9784,179
São Paulo,35.0,2020-12-10,202050,46289333.0,45919049.0,False,False,1316371,2843.7890899999998,2020-12-10,0.0332,43661,SP,9786,200
São Paulo,35.0,2020-12-11,202050,46289333.0,45919049.0,False,False,1325162,2862.7805,2020-12-11,0.0331,43802,SP,8791,141
São Paulo,35.0,2020-12-12,202050,46289333.0,45919049.0,False,False,1333763,2881.36146,2020-12-12,0.033,43971,SP,8601,169
São Paulo,35.0,2020-12-13,202051,46289333.0,45919049.0,False,False,1334703,2883.3921600000003,2020-12-13,0.033,44018,SP,940,47
São Paulo,35.0,2020-12-14,202051,46289333.0,45919049.0,False,False,1337016,2888.38899,2020-12-14,0.0329,44050,SP,2313,32
São Paulo,35.0,2020-12-15,202051,46289333.0,45919049.0,False,False,1341428,2897.92035,2020-12-15,0.033,44282,SP,4412,232
São Paulo,35.0,2020-12-16,202051,46289333.0,45919049.0,False,True,1341428,2897.92035,2020-12-15,0.033,44282,SP,0,0
São Paulo,35.0,2020-12-17,202051,46289333.0,45919049.0,False,False,1361731,2941.78143,2020-12-17,0.0328,44681,SP,20303,399
São Paulo,35.0,2020-12-18,202051,46289333.0,45919049.0,False,False,1371653,2963.21617,2020-12-18,0.0327,44878,SP,9922,197
São Paulo,35.0,2020-12-19,202051,46289333.0,45919049.0,False,False,1384100,2990.10573,2020-12-19,0.0325,45029,SP,12447,151
São Paulo,35.0,2020-12-20,202052,46289333.0,45919049.0,False,False,1384100,2990.10573,2020-12-20,0.0325,45029,SP,0,0
